Time,Object,Mass,X,Y,VX,VY,AX,AY
0.270,1,1000.000000,0.805,-4.906,2.943,0.720,-0.421,2.665
0.270,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.270,3,1000.000000,-1.379,1.440,-4.027,-4.101,11.247,-12.445
0.280,1,1000.000000,0.835,-4.899,2.939,0.747,-0.437,2.664
0.280,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.280,3,1000.000000,-1.419,1.399,-3.911,-4.222,11.611,-12.127
0.290,1,1000.000000,0.864,-4.892,2.935,0.773,-0.454,2.664
0.290,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.290,3,1000.000000,-1.458,1.357,-3.792,-4.340,11.967,-11.799
0.300,1,1000.000000,0.893,-4.884,2.930,0.800,-0.471,2.664
0.300,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.300,3,1000.000000,-1.496,1.314,-3.668,-4.455,12.315,-11.459
0.310,1,1000.000000,0.923,-4.876,2.925,0.827,-0.487,2.663
0.310,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.310,3,1000.000000,-1.533,1.269,-3.542,-4.566,12.654,-11.109
0.320,1,1000.000000,0.952,-4.868,2.920,0.853,-0.504,2.663
0.320,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.320,3,1000.000000,-1.568,1.223,-3.412,-4.673,12.983,-10.748
0.330,1,1000.000000,0.981,-4.859,2.915,0.880,-0.521,2.663
0.330,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.330,3,1000.000000,-1.602,1.177,-3.279,-4.777,13.303,-10.377
0.340,1,1000.000000,1.010,-4.850,2.909,0.907,-0.538,2.662
0.340,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.340,3,1000.000000,-1.635,1.129,-3.143,-4.877,13.613,-9.996
0.350,1,1000.000000,1.039,-4.841,2.904,0.933,-0.554,2.662
0.350,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.350,3,1000.000000,-1.667,1.080,-3.004,-4.973,13.913,-9.604
0.360,1,1000.000000,1.069,-4.832,2.898,0.960,-0.571,2.662
0.360,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.360,3,1000.000000,-1.697,1.030,-2.862,-5.065,14.202,-9.203
0.370,1,1000.000000,1.097,-4.822,2.892,0.986,-0.588,2.661
0.370,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.370,3,1000.000000,-1.725,0.980,-2.717,-5.153,14.479,-8.793
0.380,1,1000.000000,1.126,-4.812,2.886,1.013,-0.606,2.661
0.380,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.380,3,1000.000000,-1.752,0.928,-2.569,-5.237,14.745,-8.373
0.390,1,1000.000000,1.155,-4.802,2.880,1.040,-0.623,2.660
0.390,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.390,3,1000.000000,-1.778,0.876,-2.419,-5.316,14.999,-7.944
0.400,1,1000.000000,1.184,-4.792,2.874,1.066,-0.640,2.660
0.400,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.400,3,1000.000000,-1.802,0.823,-2.267,-5.391,15.241,-7.506
0.410,1,1000.000000,1.213,-4.781,2.867,1.093,-0.657,2.659
0.410,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.410,3,1000.000000,-1.825,0.769,-2.112,-5.462,15.470,-7.061
0.420,1,1000.000000,1.241,-4.770,2.860,1.119,-0.674,2.659
0.420,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.420,3,1000.000000,-1.846,0.714,-1.955,-5.528,15.686,-6.607
0.430,1,1000.000000,1.270,-4.759,2.853,1.146,-0.692,2.658
0.430,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.430,3,1000.000000,-1.866,0.659,-1.797,-5.590,15.888,-6.145
0.440,1,1000.000000,1.299,-4.748,2.846,1.173,-0.709,2.658
0.440,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.440,3,1000.000000,-1.884,0.603,-1.636,-5.646,16.077,-5.677
0.450,1,1000.000000,1.327,-4.736,2.839,1.199,-0.727,2.657
0.450,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.450,3,1000.000000,-1.900,0.546,-1.473,-5.698,16.252,-5.201
0.460,1,1000.000000,1.355,-4.724,2.832,1.226,-0.744,2.657
0.460,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.460,3,1000.000000,-1.915,0.489,-1.309,-5.746,16.412,-4.720
0.470,1,1000.000000,1.384,-4.712,2.824,1.252,-0.762,2.656
0.470,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.470,3,1000.000000,-1.928,0.432,-1.144,-5.788,16.557,-4.232
0.480,1,1000.000000,1.412,-4.699,2.816,1.279,-0.780,2.656
0.480,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.480,3,1000.000000,-1.939,0.374,-0.977,-5.825,16.687,-3.739
0.490,1,1000.000000,1.440,-4.686,2.808,1.305,-0.798,2.655
0.490,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.490,3,1000.000000,-1.949,0.316,-0.809,-5.858,16.801,-3.241
0.500,1,1000.000000,1.468,-4.673,2.800,1.332,-0.816,2.654
0.500,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.500,3,1000.000000,-1.957,0.257,-0.640,-5.885,16.900,-2.739
0.510,1,1000.000000,1.496,-4.660,2.792,1.359,-0.834,2.654
